,zl,m_h,m_acc,e_h,p_h,con,m_g,e_g,p_g,tb,vel_disp
261500,2.625,1573983000000.0,0.0,0.1348929,-30.42885,4.095244,39447080000.0,0.2587121,-47.1433,0.05933779,171.00368797190674
261600,2.639,193196800000.0,0.0,0.1948592,-93.40389,3.181478,811367500.0,0.4569135,-83.09833,0.07460198,42.14152155216083
261700,2.653,162554900000.0,0.0,0.2643111,105.1786,2.916084,484028000.0,0.3305538,76.97494,0.05562694,35.264578594320106
261800,2.666,138995300000.0,0.0,0.3995959,-105.2925,2.663474,375346000.0,0.1735302,-82.40432,0.06190816,33.150910267684694
261900,2.679,449779900000.0,0.0,0.1379827,127.9951,5.839204,3828615000.0,0.1017867,94.56278,0.1064926,79.12349149481388
262000,2.694,122461600000.0,0.0,0.4196851,-67.39514,5.073921,227236700.0,0.2447085,-120.4663,0.1219789,52.57732134756628
262100,2.709,121338900000.0,0.0,0.3430331,-89.80672,4.642758,294181900.0,0.325764,-129.7845,0.05064984,38.36034583270445
262200,2.723,130316700000.0,0.0,0.3958774,-10.64001,5.264505,312748500.0,0.1646801,51.53279,0.09357186,50.27389886965315
262300,2.737,233345800000.0,0.0,0.2912013,175.9866,3.960164,691476900.0,0.2528881,145.705,0.0831251,48.938277131527066
262400,2.752,127938100000.0,0.0,0.2444673,-156.1743,4.109266,500786800.0,0.5053011,-155.4286,0.05148549,39.12910381364511
262500,2.766,140928900000.0,0.0,0.2588128,-54.78775,3.935382,408181400.0,0.2740823,-29.20146,0.062629,40.077752052936894
262600,2.781,117760600000.0,0.0,0.1184145,56.21086,3.085344,411189600.0,0.5111541,48.94069,0.08622189,38.51091544709094
262700,2.796,150314200000.0,0.0,0.3727289,-43.48217,5.861601,520148300.0,0.1217103,-48.97694,0.04503599,45.89369894403564
262800,2.811,159955800000.0,0.0,0.283002,-56.45633,5.062289,757597400.0,0.4781396,-12.5978,0.1808939,65.33198789522999
